identifier,created_on,updated_on,ingestion_type,provider,source,foreign_identifier,foreign_landing_url,url,thumbnail,width,height,filesize,license,license_version,creator,creator_url,title,meta_data,tags,watermarked,last_synced_with_source,removed_from_source,filetype,category,standardized_popularity
4f70f6bc-605a-4043-9385-d84b249dd3ad,2018-11-09 10:31:06.910129+00,2019-08-05 17:04:33.955919+00,provider_api,flickr,flickr,42848471642,www.flickr.com/photos/150386686@N03/42848471642,https://live.staticflickr.com/1740/42848471642_d0625bfcc2_b.jpg,https://live.staticflickr.com/1740/42848471642_d0625bfcc2_m.jpg,1024,683,,by,2,PHOTO SPORTS,www.flickr.com/photos/150386686@N03,20180612-0388 ATLÉTICO X SÃO JOSÉ AMISTOSO,"{""pub_date"": ""1529412298"", ""date_taken"": ""2018-06-12 10:26:00""}",,f,2019-08-05 17:04:33.955919+00,t,,,
6d3af835-a4b3-4403-9fb1-b9d50b3c70dd,2018-11-09 10:31:06.910129+00,2019-08-05 17:04:33.955919+00,provider_api,flickr,flickr,42848463932,www.flickr.com/photos/150386686@N03/42848463932,https://live.staticflickr.com/1745/42848463932_5a917d2e66_b.jpg,https://live.staticflickr.com/1745/42848463932_5a917d2e66_m.jpg,1024,683,,by,2,PHOTO SPORTS,www.flickr.com/photos/150386686@N03,20180612-0391 ATLÉTICO X SÃO JOSÉ AMISTOSO,"{""pub_date"": ""1529412301"", ""date_taken"": ""2018-06-12 10:26:25""}",,f,2019-08-05 17:04:33.955919+00,t,,,
b6acf35f-86cd-4184-88b1-67803413e115,2019-02-13 15:15:22.579515+00,2019-04-03 17:50:37.097201+00,provider_api,flickr,flickr,32017634387,https://www.flickr.com/photos/66133432@N05/32017634387,https://farm5.staticflickr.com/4914/32017634387_bb960e25fb_b.jpg,https://farm5.staticflickr.com/4914/32017634387_bb960e25fb_m.jpg,919,1024,,by,2,Paul-SW4,https://www.flickr.com/photos/66133432@N05,pkr-304-02Feb19,"{""pub_date"": ""1549115473"", ""date_taken"": ""2019-02-02 09:37:52"", ""description"": ""02-Feb-2019 #304"", ""license_url"": ""https://creativecommons.org/licenses/by/2.0/"", ""raw_license_url"": null}","[{""name"": ""february"", ""provider"": ""flickr""}, {""name"": ""harrow"", ""provider"": ""flickr""}, {""name"": ""lodge"", ""provider"": ""flickr""}, {""name"": ""304"", ""provider"": ""flickr""}, {""name"": ""parkrun"", ""provider"": ""flickr""}, {""name"": ""2019"", ""provider"": ""flickr""}]",f,2019-04-03 17:50:37.097201+00,t,,,
a2df9662-308c-40b4-b0b3-754cbacb854e,2018-11-08 17:31:32.467511+00,2018-11-24 00:46:06.164351+00,provider_api,flickr,flickr,5131064822,https://www.flickr.com/photos/9142293@N06/5131064822,https://farm5.staticflickr.com/4030/5131064822_df3280f67f_b.jpg,https://farm5.staticflickr.com/4030/5131064822_df3280f67f_m.jpg,1024,683,,by-nc-nd,2,LoadStone,https://www.flickr.com/photos/9142293@N06,IMG_4606,"{""pub_date"": ""1288506466"", ""date_taken"": ""2010-10-24 12:17:06"", ""license_url"": ""https://creativecommons.org/licenses/by-nd-nc/2.0/jp/"", ""raw_license_url"": null}",,f,2018-11-08 17:31:32.467511+00,t,,,
1560b5a3-dbf3-4663-a2bd-886f6b2b5787,2019-02-13 15:15:22.579515+00,2019-04-03 17:50:37.097201+00,provider_api,flickr,flickr,46962024081,www.flickr.com/photos/146269332@N03/46962024081,https://farm5.staticflickr.com/4917/46962024081_ea1c24e60d_b.jpg,https://farm5.staticflickr.com/4917/46962024081_ea1c24e60d_m.jpg,1024,670,,by,2,trendingtopics,www.flickr.com/photos/146269332@N03,Willem 2,"{""pub_date"": ""1549138790"", ""date_taken"": ""2019-02-02 12:19:50""}","[{""name"": ""schlagzeile"", ""provider"": ""flickr""}, {""name"": ""news"", ""provider"": ""flickr""}, {""name"": ""headline"", ""provider"": ""flickr""}, {""name"": ""typewriter"", ""provider"": ""flickr""}, {""name"": ""schreibmaschine"", ""provider"": ""flickr""}]",f,2019-04-03 17:50:37.097201+00,t,,,
4f2d0c85-f443-461a-9216-afd5015538ab,2019-02-13 15:15:22.579515+00,2019-04-03 17:50:37.097201+00,provider_api,flickr,flickr,39997699193,www.flickr.com/photos/146269332@N03/39997699193,https://farm8.staticflickr.com/7913/39997699193_d37c577757_b.jpg,https://farm8.staticflickr.com/7913/39997699193_d37c577757_m.jpg,1024,670,,by,2,trendingtopics,www.flickr.com/photos/146269332@N03,Laaksonen,"{""pub_date"": ""1549138915"", ""date_taken"": ""2019-02-02 12:21:55""}","[{""name"": ""schlagzeile"", ""provider"": ""flickr""}, {""name"": ""news"", ""provider"": ""flickr""}, {""name"": ""headline"", ""provider"": ""flickr""}, {""name"": ""typewriter"", ""provider"": ""flickr""}, {""name"": ""schreibmaschine"", ""provider"": ""flickr""}]",f,2019-04-03 17:50:37.097201+00,t,,,
3eff0d9c-65be-4974-a6d2-2cf92a9f8b6d,2018-12-20 20:51:17.277318+00,2019-04-15 16:19:35.862341+00,provider_api,flickr,flickr,11565496433,www.flickr.com/photos/16447954@N02/11565496433,https://live.staticflickr.com/7343/11565496433_0e06e75447_b.jpg,https://live.staticflickr.com/7343/11565496433_0e06e75447_m.jpg,1024,767,,by-sa,2,jenjkuo,www.flickr.com/photos/16447954@N02,2013-12-19 322,"{""pub_date"": ""1388071455"", ""date_taken"": ""2013-12-19 19:29:27""}",{},f,2019-04-15 16:19:35.862341+00,t,,,
2f27682a-4a49-4010-8927-d1646b9946aa,2019-04-24 14:43:27.058265+00,2019-04-24 14:43:27.058265+00,provider_api,flickr,flickr,5632905675,www.flickr.com/photos/33192910@N07/5632905675,https://live.staticflickr.com/5268/5632905675_6ae790117a_b.jpg,https://live.staticflickr.com/5268/5632905675_6ae790117a_m.jpg,1024,689,,by-sa,2,Antonio Schubert,www.flickr.com/photos/33192910@N07,Última luz (um voo pássaro),"{""pub_date"": ""1303178778"", ""date_taken"": ""2011-02-17 06:35:01""}","[{""name"": ""sonysal70300g"", ""provider"": ""flickr""}, {""name"": ""sal70300g"", ""provider"": ""flickr""}, {""name"": ""sonyalphadslra580"", ""provider"": ""flickr""}, {""name"": ""dsc01045"", ""provider"": ""flickr""}, {""name"": ""sky"", ""provider"": ""flickr""}, {""name"": ""riodejaneiro"", ""provider"": ""flickr""}, {""name"": ""brasil"", ""provider"": ""flickr""}]",f,2019-04-24 14:43:27.058265+00,t,,,
6598d19b-cb1e-4f89-bde0-fc507dd2bab8,2019-02-11 17:59:30.781316+00,2019-03-28 16:48:59.343119+00,commoncrawl,eol,eol,27768350,https://eol.org/pages/1081730/overview,https://media.eol.org/content/2013/12/01/17/01990_580_360.jpg,https://media.eol.org/content/2013/12/01/17/01990_98_68.jpg,,,,by,2.1,estel from Japan.,,Pandanus boninensis,"{""set"": ""http://eol.org/pages/1081730/overview"", ""source"": ""http://commons.wikimedia.org/wiki/File:Pandanus_boninensis,_fruit_01.jpg"", ""license_url"": ""https://creativecommons.org/licenses/by/2.0/"", ""classification"": ""Pandanus boninensis"", ""image_alt_text"": ""Image of Pandanus boninensis"", ""raw_license_url"": null}",,f,2019-03-28 16:48:59.343119+00,t,,,
5764f244-825d-4b9b-8353-a6885ac0bc6e,2018-11-09 02:22:56.756031+00,2019-04-03 19:40:51.325858+00,provider_api,flickr,flickr,16152515975,https://www.flickr.com/photos/85463996@N00/16152515975,https://farm9.staticflickr.com/8598/16152515975_b5aea82041_b.jpg,https://farm9.staticflickr.com/8598/16152515975_b5aea82041_m.jpg,768,1024,,by-nc-sa,2,wind_is_free,https://www.flickr.com/photos/85463996@N00,132-DSC02776-2,"{""pub_date"": ""1419998150"", ""date_taken"": ""2014-10-25 13:47:45"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""raw_license_url"": null}","[{""name"": ""i・doll"", ""provider"": ""flickr""}]",f,2019-04-03 19:40:51.325858+00,t,,,
0392c621-f671-4116-a415-32bbc2e18484,2018-11-09 10:31:06.910129+00,2018-11-24 03:11:17.068058+00,provider_api,flickr,flickr,30826986182,https://www.flickr.com/photos/107332427@N08/30826986182,https://farm6.staticflickr.com/5625/30826986182_6a169ec8a6_b.jpg,https://farm6.staticflickr.com/5625/30826986182_6a169ec8a6_m.jpg,1024,680,,by-nc,2,bearcatbands,https://www.flickr.com/photos/107332427@N08,"UC vs BYU_Nippert Stadium_Cincinnati, OH","{""pub_date"": ""1478989785"", ""date_taken"": ""2016-11-05 15:34:14"", ""description"": ""UC vs BYU_Nippert Stadium_Cincinnati, OH"", ""license_url"": ""https://creativecommons.org/licenses/by-nc/2.0/"", ""raw_license_url"": null}",,f,2018-11-09 10:31:06.910129+00,t,,,
f8702519-8dd9-4879-83c9-5877141723f4,2019-02-13 15:15:22.579515+00,2019-04-03 17:50:37.097201+00,provider_api,flickr,flickr,33109164768,https://www.flickr.com/photos/146269332@N03/33109164768,https://farm8.staticflickr.com/7803/33109164768_5eb2d8999a_b.jpg,https://farm8.staticflickr.com/7803/33109164768_5eb2d8999a_m.jpg,1024,670,,by,2,trendingtopics,https://www.flickr.com/photos/146269332@N03,Benjamin Henrichs (Football Player Bundesliga or Champions League),"{""pub_date"": ""1549305113"", ""date_taken"": ""2019-02-04 10:31:53"", ""license_url"": ""https://creativecommons.org/licenses/by/2.0/"", ""raw_license_url"": null}","[{""name"": ""schlagzeile"", ""provider"": ""flickr""}, {""name"": ""news"", ""provider"": ""flickr""}, {""name"": ""headline"", ""provider"": ""flickr""}, {""name"": ""typewriter"", ""provider"": ""flickr""}, {""name"": ""schreibmaschine"", ""provider"": ""flickr""}]",f,2019-04-03 17:50:37.097201+00,t,,,
667d8b4d-70fe-43fd-8ca4-553a566f56c9,2019-04-24 14:43:27.058265+00,2019-04-24 14:43:27.058265+00,provider_api,flickr,flickr,5638250782,www.flickr.com/photos/10169648@N03/5638250782,https://live.staticflickr.com/5265/5638250782_9e1f894b9c_b.jpg,https://live.staticflickr.com/5265/5638250782_9e1f894b9c_m.jpg,927,1024,,by-sa,2,JuandeCT,www.flickr.com/photos/10169648@N03,La Piedad,"{""pub_date"": ""1303317526"", ""date_taken"": ""2011-04-18 23:38:33"", ""description"": ""Procesión Lunes Santo (Marrajos)""}","[{""name"": ""cartagena"", ""provider"": ""flickr""}, {""name"": ""spain"", ""provider"": ""flickr""}, {""name"": ""2011"", ""provider"": ""flickr""}, {""name"": ""españa"", ""provider"": ""flickr""}, {""name"": ""semanasanta"", ""provider"": ""flickr""}, {""name"": ""holyweek"", ""provider"": ""flickr""}]",f,2019-04-24 14:43:27.058265+00,t,,,
4ff8ff03-c217-441d-9a5d-80d1a432cc68,2018-11-08 17:31:32.467511+00,2018-11-24 00:46:06.164351+00,provider_api,flickr,flickr,5746437536,www.flickr.com/photos/26650236@N07/5746437536,https://farm3.staticflickr.com/2042/5746437536_32d4e3480c_b.jpg,https://farm3.staticflickr.com/2042/5746437536_32d4e3480c_m.jpg,1024,768,,by-nc-sa,2,kenjonbro,www.flickr.com/photos/26650236@N07,Ford 16v Zetec,"{""pub_date"": ""1306067418"", ""date_taken"": ""2011-05-21 13:18:18""}","[{""name"": ""engine"", ""provider"": ""flickr""}, {""name"": ""uk"", ""provider"": ""flickr""}, {""name"": ""zetec"", ""provider"": ""flickr""}, {""name"": ""exhibitioncentre"", ""provider"": ""flickr""}, {""name"": ""fujihs10"", ""provider"": ""flickr""}, {""name"": ""ford"", ""provider"": ""flickr""}, {""name"": ""detling"", ""provider"": ""flickr""}, {""name"": ""kentkitcarshow2011"", ""provider"": ""flickr""}, {""name"": ""indoors"", ""provider"": ""flickr""}, {""name"": ""kent"", ""provider"": ""flickr""}, {""name"": ""16v"", ""provider"": ""flickr""}]",f,2018-11-08 17:31:32.467511+00,t,,,
719b1a5e-484b-4cc6-85a6-b38344ca6b04,2018-11-08 17:31:32.467511+00,2018-11-24 00:46:06.164351+00,provider_api,flickr,flickr,6127475629,https://www.flickr.com/photos/38332815@N00/6127475629,https://farm7.staticflickr.com/6192/6127475629_0cb76ec24a_b.jpg,https://farm7.staticflickr.com/6192/6127475629_0cb76ec24a_m.jpg,1024,681,,by-sa,2,Jodimichelle,https://www.flickr.com/photos/38332815@N00,{How to} Grill Salmon,"{""pub_date"": ""1315507714"", ""date_taken"": ""2011-08-14 16:58:44"", ""license_url"": ""https://creativecommons.org/licenses/by-sa/2.0/"", ""raw_license_url"": null}","[{""name"": ""alaskansalmon"", ""provider"": ""flickr""}, {""name"": ""grill"", ""provider"": ""flickr""}, {""name"": ""howto"", ""provider"": ""flickr""}, {""name"": ""cooking"", ""provider"": ""flickr""}, {""name"": ""salmon"", ""provider"": ""flickr""}, {""name"": ""august2011"", ""provider"": ""flickr""}, {""name"": ""jodimichelle"", ""provider"": ""flickr""}, {""name"": ""outside"", ""provider"": ""flickr""}, {""name"": ""grillingsalmon"", ""provider"": ""flickr""}, {""name"": ""friends"", ""provider"": ""flickr""}, {""name"": ""bbq"", ""provider"": ""flickr""}]",f,2018-11-08 17:31:32.467511+00,t,,,
